ts_code,trade_date,vol,price,amount,pre_close,turnover_rate,volume_ratio,float_share
600000.SH,20260508,546800,9.08,4964944.0,9.09,0.00164175,0.76093,3330580.0
600004.SH,20260508,63300,8.54,540582.0,8.56,0.00267459,0.377938,236672.0
600006.SH,20260508,116600,6.96,811536.0,6.95,0.00583,0.513325,200000.0
600007.SH,20260508,15300,21.4,327420.0,21.6,0.00151894,0.513793,100728.0
600008.SH,20260508,103900,3.09,321051.0,3.09,0.00141542,0.142289,734059.0
600009.SH,20260508,34500,27.22,939090.0,27.26,0.00168599,0.336561,204628.0
600010.SH,20260508,2698700,2.8,7556360.0,2.8,0.00859984,0.2726,3138080.0
600011.SH,20260508,869100,7.27,6318357.0,7.27,0.00790255,0.656604,1099770.0
600012.SH,20260508,13100,15.5,203050.0,15.5,0.00112388,0.309879,116560.0
600015.SH,20260508,549300,6.65,3652845.0,6.65,0.00356984,0.489659,1538720.0
600016.SH,20260508,728934,3.69,2689766.0,3.69,0.00205553,0.472836,3546210.0
600017.SH,20260508,340115,2.97,1010142.0,2.97,0.0110583,1.24253,307565.0
600018.SH,20260508,48300,5.06,244398.0,5.06,0.000207771,0.0886982,2324670.0
600019.SH,20260508,256900,6.32,1623608.0,6.32,0.00117941,0.232556,2178210.0
600020.SH,20260508,97400,4.04,393496.0,4.04,0.00433395,0.422222,224737.0
600021.SH,20260508,139000,17.9,2488100.0,17.95,0.00492692,0.298272,282124.0
600022.SH,20260508,818900,1.45,1187405.0,1.45,0.00765409,0.879816,1069880.0
600023.SH,20260508,123500,5.83,720005.0,5.84,0.000921042,0.13591,1340870.0
600025.SH,20260508,181700,9.59,1742503.0,9.63,0.000975251,0.607345,1863110.0
600026.SH,20260508,749700,22.25,16680825.0,22.69,0.0196154,0.934139,382200.0
600027.SH,20260508,605200,5.11,3092572.0,5.1,0.00656707,0.440696,921568.0
600028.SH,20260508,2246700,5.29,11885043.0,5.27,0.00237113,0.526275,9475250.0
600029.SH,20260508,1827300,5.56,10159788.0,5.62,0.0135587,1.40849,1347700.0
600030.SH,20260508,503000,27.1,13631300.0,27.23,0.00413089,0.273233,1217660.0
600031.SH,20260508,174700,20.9,3651230.0,20.98,0.00206151,0.144508,847439.0
600032.SH,20260508,422900,10.55,4461595.0,10.57,0.0175866,0.612959,240468.0
600033.SH,20260508,39000,3.63,141570.0,3.63,0.00142108,0.19163,274440.0
600035.SH,20260508,32000,3.85,123200.0,3.85,0.00198743,0.336033,161012.0
600036.SH,20260508,318300,38.03,12104949.0,37.95,0.00154298,0.241361,2062890.0
600037.SH,20260508,159400,8.18,1303892.0,8.16,0.011453,0.609883,139178.0
600038.SH,20260508,19600,30.98,607208.0,31.04,0.00293003,0.2062,66893.5
600039.SH,20260508,133700,8.05,1076285.0,8.06,0.00153756,0.257399,869559.0
600048.SH,20260508,162100,6.38,1034198.0,6.4,0.00135417,0.095094,1197040.0
600050.SH,20260508,905200,4.47,4046244.0,4.49,0.0029209,0.508659,3099040.0
600051.SH,20260508,57500,7.72,443900.0,7.67,0.0184959,0.646551,31088.0
600052.SH,20260508,689300,4.59,3163887.0,4.54,0.0816518,1.07433,84419.5
600053.SH,20260508,3664623,9.41,34484102.0,9.8,0.845278,106.558,43354.1
600054.SH,20260508,25800,11.41,294378.0,11.41,0.0050263,0.224732,51330.0
600055.SH,20260508,34200,14.01,479142.0,14.04,0.00486444,0.463872,70306.1
600056.SH,20260508,34620,10.37,359009.0,10.37,0.00231517,0.277522,149535.0
600057.SH,20260508,111900,6.94,776586.0,6.98,0.00534764,0.264025,209251.0
600058.SH,20260508,29100,11.34,329994.0,11.38,0.00271478,0.239542,107191.0
600059.SH,20260508,37400,8.67,324258.0,8.67,0.00410294,0.32865,91154.2
600060.SH,20260508,22500,25.0,562500.0,25.07,0.00173054,0.149667,130017.0
600061.SH,20260508,113752,6.68,759863.0,6.69,0.00177905,0.183575,639399.0
600062.SH,20260508,28900,17.94,518466.0,17.93,0.0027836,0.489824,103823.0
600063.SH,20260508,101900,6.74,686806.0,6.76,0.00492483,0.20814,206911.0
600064.SH,20260508,53600,8.23,441128.0,8.23,0.00309766,0.273871,173034.0
600066.SH,20260508,36700,35.1,1288170.0,35.1,0.00165768,0.166161,221394.0
600067.SH,20260508,87300,3.55,309915.0,3.55,0.00627304,0.227384,139167.0
600071.SH,20260508,24000,19.9,477600.0,20.09,0.00852352,0.553411,28157.4
600072.SH,20260508,76400,13.59,1038276.0,13.55,0.00705228,0.156502,108334.0
600073.SH,20260508,25300,5.83,147499.0,5.83,0.00269801,0.372243,93772.9
600075.SH,20260508,496900,6.76,3359044.0,6.46,0.029096,1.73624,170780.0
600076.SH,20260508,350800,3.31,1161148.0,3.27,0.0260906,1.27287,134454.0
600078.SH,20260508,1222600,13.6,16627360.0,13.41,0.184523,3.11303,66257.3
600079.SH,20260508,86400,18.58,1605312.0,18.61,0.00559883,0.628211,154318.0
600080.SH,20260508,780900,6.54,5107086.0,6.88,0.209205,27.7903,37327.0
600081.SH,20260508,146900,12.7,1865630.0,12.57,0.0265629,1.65241,55302.6
600082.SH,20260508,650400,3.66,2380464.0,3.69,0.102533,2.99104,63433.5
600084.SH,20260508,574901,4.8,2759525.0,4.83,0.0511602,7.52855,112373.0
600085.SH,20260508,13300,27.66,367878.0,27.59,0.000969762,0.227451,137147.0
600088.SH,20260508,104300,15.36,1602048.0,15.36,0.0262254,1.63667,39770.6
600089.SH,20260508,509000,27.6,14048400.0,27.8,0.0100736,0.326895,505279.0
600094.SH,20260508,32700,4.9,160230.0,4.89,0.00153793,0.108872,212623.0
600095.SH,20260508,50600,9.04,457424.0,9.05,0.00176973,0.182924,285919.0
600096.SH,20260508,240500,35.0,8417500.0,35.1,0.0131926,0.363033,182299.0
600097.SH,20260508,8600,10.38,89268.0,10.38,0.0035694,0.169678,24093.7
600098.SH,20260508,110600,7.13,788578.0,7.16,0.00315471,0.301062,350586.0
600099.SH,20260508,27800,11.73,326094.0,11.72,0.0126871,0.389844,21912.0
600100.SH,20260508,72500,8.26,598850.0,8.29,0.00216399,0.123265,335030.0
600101.SH,20260508,68400,10.0,684000.0,10.03,0.0124849,0.292985,54786.2
600103.SH,20260508,3217300,4.88,15700424.0,4.89,0.145426,1.29566,221233.0
600104.SH,20260508,214300,13.57,2908051.0,13.59,0.00186424,0.54492,1149530.0
600105.SH,20260508,2029200,46.09,93525828.0,47.52,0.138797,1.1797,146199.0
600106.SH,20260508,33900,6.06,205434.0,6.08,0.00255074,0.140303,132902.0
600107.SH,20260508,855600,6.96,5954976.0,6.63,0.237667,15.1975,36000.0
600108.SH,20260508,106000,4.35,461100.0,4.36,0.00544451,0.160567,194692.0
600109.SH,20260508,88900,9.05,804545.0,9.07,0.00239922,0.208572,370536.0
600110.SH,20260508,1587700,11.11,17639347.0,11.29,0.0915005,0.777966,173518.0
600111.SH,20260508,1190665,54.8,65248442.0,55.31,0.0329362,0.643131,361507.0
600113.SH,20260508,90700,49.38,4478766.0,49.38,0.022045,1.47712,41143.1
600114.SH,20260508,44100,34.64,1527624.0,34.91,0.00715464,0.224803,61638.3
600115.SH,20260508,2941400,4.47,13148058.0,4.53,0.017277,1.37432,1702500.0
600116.SH,20260508,75200,6.72,505344.0,6.72,0.00393276,0.292844,191214.0
600117.SH,20260508,30200,2.59,78218.0,2.59,0.000927771,0.214724,325512.0
600118.SH,20260508,292200,105.57,30847554.0,107.3,0.0247106,0.477882,118249.0
600119.SH,20260508,66600,6.15,409590.0,6.17,0.0182331,0.374908,36527.0
600120.SH,20260508,303000,5.64,1708920.0,5.67,0.00887163,0.655582,341538.0
600121.SH,20260508,195200,4.2,819840.0,4.17,0.0160209,0.413572,121841.0
600123.SH,20260508,350600,6.84,2398104.0,6.71,0.0237979,0.770563,147324.0
600125.SH,20260508,25800,6.1,157380.0,6.1,0.00197622,0.148935,130552.0
600126.SH,20260508,1539400,9.49,14608906.0,9.55,0.0455823,0.800053,337719.0
600127.SH,20260508,53100,6.71,356301.0,6.7,0.00827382,0.264865,64178.3
600128.SH,20260508,24400,10.53,256932.0,10.43,0.00988785,0.443289,24676.8
600129.SH,20260508,28000,15.58,436240.0,15.57,0.00507782,0.450779,55141.8
600130.SH,20260508,8076100,5.98,48295078.0,5.59,1.07681,16.6689,75000.0
600131.SH,20260508,122800,17.8,2185840.0,17.88,0.0102684,0.850415,119591.0
600132.SH,20260508,22300,53.27,1187921.0,53.22,0.00460771,0.392972,48397.1
600133.SH,20260508,46200,9.04,417648.0,9.08,0.00433298,0.174438,106624.0
600135.SH,20260508,155900,11.56,1802204.0,11.59,0.028176,0.53716,55330.7
600136.SH,20260508,204000,1.75,357000.0,1.76,0.0104987,1.22885,194309.0
600137.SH,20260508,34700,23.48,814756.0,23.25,0.0356931,0.768919,9721.76
600138.SH,20260508,25700,8.93,229501.0,8.93,0.00355051,0.293506,72384.0
600141.SH,20260508,76800,32.0,2457600.0,32.01,0.00639073,0.213012,120174.0
600143.SH,20260508,256800,17.75,4558200.0,17.73,0.00974637,0.508086,263483.0
600148.SH,20260508,9600,19.26,184896.0,19.31,0.00678366,0.264849,14151.6
600149.SH,20260508,200200,6.4,1281280.0,6.45,0.052662,0.736692,38016.0
600150.SH,20260508,535600,40.6,21745360.0,40.61,0.00882161,0.273695,607145.0
600151.SH,20260508,152100,15.12,2299752.0,15.12,0.0106048,0.257121,143425.0
600152.SH,20260508,762900,14.98,11428242.0,15.11,0.144194,0.549535,52907.9
600153.SH,20260508,70200,9.87,692874.0,9.97,0.00242108,0.201391,289954.0
600155.SH,20260508,91700,6.29,576793.0,6.31,0.00414268,0.328233,221354.0
600156.SH,20260508,1125500,11.75,13224625.0,11.75,0.279898,1.70211,40211.1
600157.SH,20260508,3583800,1.77,6343326.0,1.77,0.0164261,0.472395,2181780.0
600158.SH,20260508,3384800,13.43,45457864.0,13.27,0.352762,3.1835,95951.3
600159.SH,20260508,103500,3.34,345690.0,3.31,0.0124698,0.350763,83000.3
600160.SH,20260508,110800,35.92,3979936.0,36.16,0.00410409,0.272999,269975.0
600161.SH,20260508,27700,14.13,391401.0,14.14,0.00140085,0.332183,197737.0
600162.SH,20260508,234200,1.89,442638.0,1.89,0.0071655,0.423236,326844.0
600163.SH,20260508,312100,6.45,2013045.0,6.5,0.0164005,0.722848,190300.0
600165.SH,20260508,18800,3.28,61664.0,3.24,0.0025651,0.281644,73291.4
600166.SH,20260508,1140200,3.68,4195936.0,3.68,0.0144012,0.41774,791740.0
600167.SH,20260508,87200,6.89,600808.0,6.89,0.00385356,0.777051,226284.0
600168.SH,20260508,38400,5.02,192768.0,5.03,0.00386552,0.458453,99339.8
600169.SH,20260508,658700,2.38,1567706.0,2.38,0.0197621,5.28196,333314.0
600170.SH,20260508,759800,2.72,2066656.0,2.73,0.00855059,0.546833,888594.0
600171.SH,20260508,72700,29.58,2150466.0,29.86,0.010255,0.385338,70892.3
600172.SH,20260508,435700,8.75,3812375.0,8.84,0.0341389,0.422642,127626.0
600173.SH,20260508,24000,7.24,173760.0,7.27,0.00342653,0.266236,70041.6
600176.SH,20260508,1005200,37.45,37644740.0,37.93,0.0251103,0.619701,400314.0
600177.SH,20260508,63948,7.83,500713.0,7.83,0.00138313,0.165467,462344.0
600178.SH,20260508,8400,10.42,87528.0,10.41,0.00180074,0.127722,46647.6
600179.SH,20260508,76500,4.32,330480.0,4.32,0.0019807,0.263182,386228.0
600180.SH,20260508,43900,2.49,109311.0,2.62,0.00404002,0.604295,108663.0
600182.SH,20260508,58800,14.1,829080.0,14.05,0.0345882,1.83245,17000.0
600183.SH,20260508,366214,80.53,29491213.0,82.0,0.015294,0.634653,239450.0
600184.SH,20260508,278600,23.96,6675256.0,23.97,0.0478097,0.730544,58272.7
600185.SH,20260508,104000,5.76,599040.0,5.78,0.00551722,0.371005,188501.0
600186.SH,20260508,2921700,10.8,31554360.0,11.13,0.163302,0.792578,178914.0
600187.SH,20260508,803600,1.58,1269688.0,1.66,0.0497961,2.48496,161378.0
600188.SH,20260508,287775,21.55,6201551.0,21.44,0.00482734,0.411897,596135.0
600189.SH,20260508,96200,8.26,794612.0,8.2,0.0134508,0.741823,71519.8
600191.SH,20260508,26600,12.86,342076.0,12.86,0.00548531,0.238552,48493.2
600192.SH,20260508,101900,8.59,875321.0,8.59,0.0230675,1.614,44174.8
600195.SH,20260508,18600,7.34,136524.0,7.34,0.00182148,0.167093,102115.0
600196.SH,20260508,67300,24.77,1667021.0,24.73,0.00317679,0.276451,211849.0
600197.SH,20260508,21600,12.14,262224.0,12.14,0.00456491,0.450727,47317.5
600198.SH,20260508,91200,8.68,791616.0,8.69,0.00700488,0.280375,130195.0
600199.SH,20260508,12100,7.95,96195.0,7.94,0.00183947,0.184034,65779.7
600201.SH,20260508,39000,14.98,584220.0,14.87,0.00350799,0.147766,111175.0
600202.SH,20260508,69200,6.46,447032.0,6.41,0.0180518,0.584856,38334.1
600203.SH,20260508,196500,13.0,2554500.0,13.0,0.0331373,0.638781,59298.8
600206.SH,20260508,857400,28.6,24521640.0,29.33,0.101281,0.954112,84655.3
600207.SH,20260508,1795600,6.3,11312280.0,6.23,0.164838,7.77932,108931.0
600208.SH,20260508,10409400,5.0,52047000.0,5.1,0.122349,3.09999,850798.0
600210.SH,20260508,143200,6.94,993808.0,6.97,0.00944133,0.392814,151674.0
600211.SH,20260508,15800,41.67,658386.0,41.8,0.00490197,0.365823,32231.9
600212.SH,20260508,26500,7.34,194510.0,7.34,0.00498889,0.139176,53118.0
600215.SH,20260508,50600,6.98,353188.0,6.99,0.011075,0.343378,45688.3
600216.SH,20260508,37800,14.23,537894.0,14.21,0.00397314,0.213778,95138.9
600217.SH,20260508,15200,3.72,56544.0,3.73,0.000916959,0.10185,165765.0
600218.SH,20260508,30000,9.76,292800.0,9.75,0.00688705,0.390305,43560.0
600219.SH,20260508,779300,5.48,4270564.0,5.52,0.00678614,0.270816,1148370.0
600221.SH,20260508,4293500,1.51,6483185.0,1.52,0.0100209,0.820747,4284550.0
600222.SH,20260508,49200,6.8,334560.0,6.76,0.00857313,0.299816,57388.6
600223.SH,20260508,211000,6.62,1396820.0,6.55,0.0207561,2.93513,101657.0
600226.SH,20260508,368800,5.7,2102160.0,5.73,0.0123992,0.479498,297438.0
600227.SH,20260508,1463200,3.95,5779640.0,3.93,0.114527,0.583954,127760.0
600228.SH,20260508,105100,6.4,672640.0,6.33,0.0252622,1.52769,41603.7
600229.SH,20260508,38000,6.27,238260.0,6.27,0.00575141,0.67743,66070.8
600230.SH,20260508,21100,18.0,379800.0,18.03,0.0050971,0.112169,41396.1
600231.SH,20260508,64100,2.18,139738.0,2.18,0.00225992,0.219894,283638.0
600232.SH,20260508,29600,8.64,255744.0,8.7,0.00811585,0.368812,36471.9
600233.SH,20260508,29200,21.2,619040.0,21.35,0.000853126,0.143791,342271.0
600234.SH,20260508,29901,26.0,777426.0,26.01,0.0113899,0.381427,26252.1
600235.SH,20260508,35000,6.9,241500.0,6.86,0.00996299,0.468372,35130.0
600236.SH,20260508,120500,10.56,1272480.0,10.64,0.00152873,0.432876,788238.0
600237.SH,20260508,108800,9.16,996608.0,9.21,0.0174187,0.592082,62461.6
600238.SH,20260508,57500,5.41,311075.0,5.32,0.0129135,0.363802,44527.2
600239.SH,20260508,1646000,1.65,2715900.0,1.74,0.102511,19.2234,160569.0
600241.SH,20260508,72500,9.82,711950.0,9.77,0.0246345,0.927264,29430.2
600243.SH,20260508,657900,4.46,2934234.0,4.37,0.149915,4.35952,43885.0
600246.SH,20260508,2519200,12.1,30482320.0,12.26,0.133262,1.68496,189041.0
600248.SH,20260508,249300,3.5,872550.0,3.51,0.0067274,0.392954,370574.0
600249.SH,20260508,252300,5.96,1503708.0,5.94,0.0458727,1.72277,55000.0
600250.SH,20260508,36900,10.51,387819.0,10.49,0.011797,0.242717,31279.1
600251.SH,20260508,126800,12.8,1623040.0,12.71,0.0163193,0.488692,77699.4
600252.SH,20260508,186800,2.41,450188.0,2.41,0.00586653,0.537514,318416.0
600255.SH,20260508,156700,3.72,582924.0,3.73,0.00867593,0.366889,180615.0
600256.SH,20260508,1870200,6.28,11744856.0,6.16,0.0292584,0.912919,639200.0
600257.SH,20260508,89700,6.2,556140.0,6.15,0.0186395,0.545337,48123.7
600258.SH,20260508,53900,14.84,799876.0,14.84,0.00482714,0.191884,111660.0
600259.SH,20260508,39400,96.95,3819830.0,98.2,0.011711,0.231076,33643.6
600261.SH,20260508,452100,3.86,1745106.0,3.77,0.0338638,0.982832,133505.0
600262.SH,20260508,28900,24.43,706027.0,24.37,0.017,0.333838,17000.0
600265.SH,20260508,32300,23.11,746453.0,23.1,0.0248844,1.62406,12980.0
600266.SH,20260508,58700,5.23,307001.0,5.23,0.0028279,0.113304,207574.0
600267.SH,20260508,82400,11.58,954192.0,11.62,0.00687376,0.250148,119876.0
600268.SH,20260508,108100,15.69,1696089.0,15.72,0.0106942,0.426105,101083.0
600269.SH,20260508,42300,4.44,187812.0,4.44,0.00181125,0.326291,233541.0
600271.SH,20260508,37700,8.52,321204.0,8.55,0.00203467,0.185369,185288.0
600272.SH,20260508,11400,12.73,145122.0,12.7,0.007125,0.346113,16000.0
600273.SH,20260508,84000,8.09,679560.0,8.06,0.00640581,0.342301,131131.0
600276.SH,20260508,325390,53.88,17532013.0,53.68,0.00510095,0.465333,637900.0
600278.SH,20260508,18900,7.12,134568.0,7.12,0.00216764,0.272581,87191.6
600279.SH,20260508,9300,4.96,46128.0,4.93,0.000783576,0.131578,118687.0
600280.SH,20260508,25700,3.11,79927.0,3.12,0.00227769,0.101488,112833.0
600281.SH,20260508,28900,5.65,163285.0,5.67,0.00561817,0.298893,51440.2
600282.SH,20260508,71800,5.35,384130.0,5.35,0.00116462,0.138686,616509.0
600283.SH,20260508,7000,9.2,64400.0,9.2,0.00128637,0.143608,54416.7
600284.SH,20260508,973600,7.8,7594080.0,7.68,0.100345,4.29364,97025.6
600285.SH,20260508,4500,22.15,99675.0,22.19,0.000795242,0.0347819,56586.5
600287.SH,20260508,33400,5.84,195056.0,5.81,0.00764659,0.539281,43679.6
600288.SH,20260508,27900,15.25,425475.0,15.32,0.00638736,0.252392,43680.0
600289.SH,20260508,28900,6.11,176579.0,6.13,0.0051067,0.336884,56592.3
600292.SH,20260508,137400,16.0,2198400.0,16.08,0.017597,0.626452,78081.7
600293.SH,20260508,30900,3.22,99498.0,3.23,0.00266346,0.130492,116015.0
600295.SH,20260508,23000,15.69,360870.0,15.67,0.00116422,0.216823,197558.0
600298.SH,20260508,5700,37.93,216201.0,37.9,0.000664994,0.0587283,85715.0
600299.SH,20260508,56700,12.65,717255.0,12.62,0.00211417,0.232678,268190.0
600300.SH,20260508,84700,3.62,306614.0,3.63,0.00523763,0.15585,161714.0
600301.SH,20260508,213300,59.78,12751074.0,59.82,0.0774691,1.22568,27533.6
600302.SH,20260508,53400,8.18,436812.0,8.61,0.0154331,1.27379,34601.0
600303.SH,20260508,165400,3.33,550782.0,3.31,0.0244818,0.710195,67560.4
600305.SH,20260508,27000,7.49,202230.0,7.48,0.0024479,0.412143,110299.0
600307.SH,20260508,293700,1.77,519849.0,1.78,0.00468918,0.463345,626336.0
600308.SH,20260508,146000,3.86,563560.0,3.86,0.00962508,0.708763,151687.0
600309.SH,20260508,165500,84.8,14034400.0,84.8,0.00528674,0.447942,313047.0
600310.SH,20260508,542000,5.3,2872600.0,5.31,0.0369786,0.346101,146571.0
600312.SH,20260508,63000,22.15,1395450.0,22.21,0.00464286,0.228911,135692.0
