排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注
1,MSCI中国,10549302745.609999,274244050,568,18572716.101426054,-0.26,144,361,63,⭐
2,深成500,7644547002.900001,193840060,500,15289094.005800001,-0.35,123,326,51,⭐
3,百元股,7564272850.48,42845973,248,30501100.203548387,-0.24,86,156,6,⭐
4,大盘股,7334313187.0,168131256,299,24529475.54180602,-0.33,72,185,42,⭐
5,标准普尔,6575090483.16,396468298,796,8260163.923567839,-0.35,173,513,110,⭐
6,HS300_,6467954334.99,163895088,299,21631954.29762542,-0.27,73,184,42,⭐
7,华为概念,6099180943.46,245152254,732,8332214.4036338795,-0.67,143,543,44,⭐
8,富时罗素,5195597269.17,220489817,598,8688289.74777592,-0.32,131,386,81,⭐
9,中盘股,4904501103.83,154783634,497,9868211.476519115,-0.26,119,330,48,⭐
10,国产芯片,4873300321.53,110745073,294,16575851.433775509,-0.47,67,211,16,⭐
11,电池技术,4679088713.03,189097255,560,8355515.558982142,-0.52,141,373,42,⭐
12,中证500,4559895579.63,166489067,500,9119791.159260001,-0.32,115,326,59,⭐
13,大盘成长,4218833253.6399994,41254535,94,44881204.82595744,-0.75,17,69,8,⭐
14,半导体概念,3867710972.89,79054586,275,14064403.537781818,-0.6,54,203,17,⭐
15,通信技术,3791318588.26,85925860,290,13073512.373310346,-0.51,68,209,13,⭐
16,最近多板,3526927056.2799997,223733761,173,20386861.596994217,1.08,85,77,11,⭐
17,创业成份,3427132768.19,34350694,100,34271327.6819,-0.35,26,68,6,⭐
18,近期新高,3393581364.6,101190699,154,22036242.627272725,0.6,70,78,6,⭐
19,算力概念,3391827103.0099998,183652811,189,17946175.148201056,-0.18,50,123,15,⭐
20,百日新高,3360375315.39,98167572,139,24175361.98122302,0.62,64,71,4,⭐
21,中盘成长,3329315935.09,69106604,228,14602262.873201756,-0.28,60,153,15,⭐
22,光通信模块,3256731458.17,57530838,83,39237728.41168675,-0.6,21,59,3,⭐
23,光伏概念,3234059619.99,187888856,416,7774181.778822115,-0.72,68,306,41,⭐
24,基金重仓,3209134626.37,29644823,100,32091346.263699997,0.31,41,55,4,⭐
25,长江三角,3163773411.39,229292302,407,7773399.045184275,-0.49,85,276,45,⭐
26,深证100R,3079307578.32,43736643,100,30793075.783200003,-0.38,23,67,10,⭐
27,行业龙头,3075670008.2300005,44376415,96,32038229.25239584,-0.08,32,54,10,⭐
28,权重股,3073884788.25,33636796,50,61477695.765,-0.19,9,34,7,⭐
29,上证180_,3002048600.0,98800851,179,16771221.229050279,-0.24,44,103,32,⭐
30,QFII重仓,2940252033.2000003,191069365,717,4100769.9207810326,-0.37,181,454,78,⭐
31,CPO概念,2928050389.12,48759876,50,58561007.7824,-0.11,16,32,2,⭐
32,商业航天,2926861633.2200003,121907065,282,10378941.961773051,-0.63,60,202,19,⭐
33,锂电池概念,2792513908.0699997,95131139,277,10081277.646462092,-0.47,67,182,25,⭐
34,周期股,2775205836.99,59666503,99,28032382.191818178,-0.34,29,59,11,⭐
35,茅指数,2570385736.63,25305398,42,61199660.39595238,-0.11,10,27,5,⭐
36,物联网,2477484880.2,97843426,365,6787629.808767123,-0.54,77,258,29,⭐
37,西部大开发,2438460457.23,161457179,571,4270508.681663748,-0.38,128,375,63,⭐
38,固态电池,2364829534.6800003,59771215,199,11883565.500904525,-0.36,61,118,18,⭐
39,存储芯片,2311264616.59,29763113,98,23584332.82234694,-0.75,26,67,4,⭐
40,宁组合,2275773322.59,20545759,24,94823888.44125001,0.22,10,13,1,⭐
41,特斯拉概念,2236934156.76,55411192,194,11530588.436907217,-0.57,41,131,20,⭐
42,阿里概念,2180667972.9,70006363,161,13544521.570807453,-0.41,39,102,20,⭐
43,军工,2151801928.1800003,104995775,398,5406537.5079899505,-0.5,84,290,22,⭐
44,大数据,2131503298.9,105697621,286,7452808.737412588,-0.63,50,205,30,⭐
45,消费电子概念,2074467578.7,63172281,175,11854100.449714286,-0.56,40,126,9,⭐
46,新能源车,2052248528.3400002,64136346,362,5669194.829668509,-0.53,91,237,31,⭐
47,风能,2050399351.1799998,91321795,222,9236033.113423422,-0.62,42,151,28,⭐
48,通信,2024843972.77,43916061,123,16462146.1200813,-0.37,28,87,8,⭐
49,人工智能,2007730578.93,79265478,271,7408599.922250923,-0.49,49,197,23,⭐
50,小米概念,1842557128.83,84493247,222,8299806.886621621,-0.71,58,148,14,⭐
51,上证50_,1759047513.0,28731089,50,35180950.26,-0.07,10,31,9,⭐
52,数字芯片设计,1733809408.9099998,10925350,51,33996262.91980392,-0.77,12,36,3,⭐
53,AH股,1698084941.0,40544471,100,16980849.41,0.03,30,54,16,⭐
