排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,MSCI中国,25682756491.86,751641800.0,577,44510843.14013865,0.47,385,166,26,⭐,auto
2,大盘股,18675425833.030003,512610300.0,309,60438271.30430421,0.27,186,106,17,⭐,auto
3,深成500,18555492382.019997,524810300.0,478,38819021.71970711,0.74,348,114,16,⭐,auto
4,HS300_,17052922078.670002,456782800.0,308,55366630.125551954,0.08,181,110,17,⭐,auto
5,百元股,15309148309.619999,70988200.0,259,59108680.73212355,1.45,197,59,3,⭐,auto
6,标准普尔,14601410399.08,836073800.0,802,18206247.380399004,0.02,489,250,63,⭐,auto
7,电池技术,12282009035.259998,427887700.0,557,22050285.5211131,0.17,440,98,19,⭐,auto
8,中盘股,11400702586.48,410837000.0,531,21470249.69205273,0.65,387,126,18,⭐,auto
9,华为概念,11352344605.420002,401630000.0,692,16405122.262167633,0.97,612,69,11,⭐,auto
10,富时罗素,11228502516.619999,571782500.0,634,17710571.792776022,-0.1,384,190,60,⭐,auto
11,中证500,10332627300.23,454801900.0,517,19985739.4588588,0.63,374,114,29,⭐,auto
12,国产芯片,9218058037.74,153189000.0,304,30322559.33467105,1.71,278,23,3,⭐,auto
13,大盘成长,9197682105.35,110873200.0,93,98899807.58440861,1.52,68,22,3,⭐,auto
14,近期新高,8394929762.53,266557000.0,181,46380827.41729282,0.26,112,65,4,⭐,auto
15,西部大开发,8388386609.36,459683300.0,569,14742331.475149384,0.1,375,163,31,⭐,auto
16,上证180_,8381317651.0,262031000.0,184,45550639.407608695,-0.11,103,66,15,⭐,auto
17,百日新高,8048076718.2,251514800.0,162,49679485.914814815,0.26,99,59,4,⭐,auto
18,半导体概念,7940274786.75,119501400.0,273,29085255.62912088,1.89,254,15,4,⭐,auto
19,深证100R,7905878205.59,168064800.0,108,73202575.97768518,0.39,68,39,1,⭐,auto
20,基金重仓,7903818702.62,68165300.0,118,66981514.42898305,1.07,93,24,1,⭐,auto
21,权重股,7501618525.44,124430900.0,51,147090559.32235295,0.39,25,22,4,⭐,auto
22,固态电池,7214108722.75,189226000.0,193,37378801.67227979,0.7,154,34,5,⭐,auto
23,最近多板,7196435592.74,394382200.0,200,35982177.9637,-0.73,132,63,5,⭐,auto
24,中盘成长,7095873878.219999,184451500.0,237,29940396.110632908,1.15,193,39,5,⭐,auto
25,行业龙头,7000280170.15,170009700.0,104,67310386.2514423,0.48,62,36,6,⭐,auto
26,通信技术,6804070623.42,173969400.0,286,23790456.725244757,1.25,249,32,5,⭐,auto
27,锂电池概念,6696565902.52,182476200.0,263,25462227.766235743,0.84,220,35,8,⭐,auto
28,周期股,5888459717.25,176706300.0,103,57169511.817961164,-0.67,70,29,4,⭐,auto
29,证金持股,5842765693.5199995,252346900.0,189,30914104.198518515,0.04,115,58,16,⭐,auto
30,QFII重仓,5749228825.66,386534700.0,770,7466530.942415584,0.47,562,175,33,⭐,auto
31,算力概念,5674254624.7,208637100.0,198,28657851.63989899,1.56,172,23,3,⭐,auto
32,物联网,5390220470.58,219394100.0,349,15444757.795358166,0.75,317,27,5,⭐,auto
33,上证50_,5195933436.0,128916500.0,56,92784525.64285715,0.52,26,25,5,⭐,auto
34,特斯拉概念,5159500346.66,97329800.0,182,28348903.003626373,0.84,164,17,1,⭐,auto
35,创业成份,5045330169.61,61715200.0,91,55443188.67703296,1.14,77,14,0,⭐,auto
36,茅指数,5024961091.79,55236800.0,41,122560026.62902439,0.08,23,17,1,⭐,auto
37,光伏概念,4997264142.11,324001500.0,409,12218249.736210268,0.4,327,65,17,⭐,auto
38,人工智能,4864958605.26,150701000.0,269,18085347.974944238,0.35,230,34,5,⭐,auto
39,光通信模块,4734408643.98,69010900.0,84,56362007.666428566,1.89,79,5,0,⭐,auto
40,数字芯片设计,4706564022.0,18869300.0,54,87158593.0,2.99,51,3,0,⭐,auto
41,新能源车,4673117855.3,135845900.0,369,12664276.030623307,0.78,312,45,12,⭐,auto
42,消费电子概念,4626403931.83,120633400.0,167,27703017.555868264,1.39,148,18,1,⭐,auto
43,商业航天,4563778092.85,190594600.0,264,17287038.230492424,0.63,235,22,7,⭐,auto
44,长江三角,4552987629.92,356179600.0,424,10738178.37245283,-0.74,291,106,27,⭐,auto
45,CPO概念,4490425943.14,70961900.0,56,80186177.55607143,1.75,47,7,2,⭐,auto
46,存储芯片,4422006633.84,49708800.0,95,46547438.25094737,3.24,95,0,0,⭐,auto
47,电池,4400571291.74,76367500.0,85,51771426.961647056,0.58,69,13,3,⭐,auto
48,锂矿概念,4303242046.45,73227700.0,39,110339539.6525641,1.2,33,4,2,⭐,auto
49,有色金属,4091158460.94,99203100.0,118,34670834.41474576,0.09,96,22,0,⭐,auto
50,小金属概念,3852367822.36,133276600.0,89,43285031.71191011,1.18,73,15,1,⭐,auto
51,军工,3766104161.41,181083100.0,395,9534440.914962025,0.02,347,38,10,⭐,auto
52,数据中心,3723743167.6500006,102295400.0,181,20573166.672099452,1.19,156,21,4,⭐,auto
53,破增发价股,3706644722.53,461607400.0,591,6271818.481438241,-0.06,419,130,42,⭐,auto
54,PCB,3518145494.0899997,98921000.0,116,30328840.4662931,1.44,100,16,0,⭐,auto
55,节能环保,3496783706.09,247142800.0,397,8808019.410806045,-0.23,298,78,21,⭐,auto
56,AH股,3483167257.0,158964900.0,105,33173021.495238096,0.4,56,39,10,⭐,auto
57,央国企改革,3399266181.0,290339900.0,374,9088947.00802139,0.07,252,86,36,⭐,auto
58,大数据,3345251377.66,224205100.0,265,12623590.104377357,0.62,235,26,4,⭐,auto
59,参股银行,3313197991.77,268226100.0,224,14791062.463258928,0.22,132,70,22,⭐,auto
60,风能,3290143199.9700003,217029500.0,228,14430452.63144737,0.23,178,32,18,⭐,auto
61,钠离子电池,3219236610.6800003,80235000.0,70,45989094.438285716,0.29,44,21,5,⭐,auto
62,央视50_,3209256489.4900007,75073500.0,52,61716470.95173078,0.13,26,24,2,⭐,auto
63,养老金,3149994637.5399995,97109400.0,228,13815765.954122804,0.35,144,71,13,⭐,auto
64,股权激励,3117778722.69,99912200.0,209,14917601.543971293,0.63,151,50,8,⭐,auto
65,通信,2975436261.31,55621600.0,114,26100318.081666667,1.44,102,10,2,⭐,auto
66,大盘价值,2963266956.81,236061900.0,107,27694083.708504673,-1.01,44,51,12,⭐,auto
67,阿里概念,2928630808.13,110021800.0,148,19788046.00087838,0.92,126,18,4,⭐,auto
68,AI眼镜,2860965838.8,53474800.0,104,27509286.911538463,1.48,94,9,1,⭐,auto
69,动力电池回收,2853586146.3300004,47489400.0,47,60714598.85808512,0.29,39,7,1,⭐,auto
70,历史新高,2850452693.27,41706600.0,45,63343393.18377778,1.44,32,11,2,⭐,auto
71,小盘股,2841922076.0,138159400.0,377,7538254.843501327,0.38,277,74,26,⭐,auto
72,小米概念,2796406932.7300005,105925800.0,215,13006543.873162793,1.05,186,26,3,⭐,auto
73,人形机器人,2786118679.74,121556900.0,218,12780360.916238531,0.8,181,32,5,⭐,auto
74,独角兽,2702578070.83,123290100.0,97,27861629.596185565,0.67,78,14,5,⭐,auto
75,新能源,2683615780.2799997,212680600.0,226,11874406.107433626,0.3,179,34,13,⭐,auto
76,超级品牌,2619474407.23,37815800.0,32,81858575.2259375,-0.53,11,19,2,⭐,auto
77,DeepSeek概念,2596001541.67,101719900.0,243,10683133.91633745,0.73,211,23,9,⭐,auto
78,工业互联,2533360588.13,121319200.0,186,13620218.21575269,0.61,161,18,7,⭐,auto
79,云计算,2461519172.45,127468300.0,127,19382040.727952756,1.51,115,10,2,⭐,auto
80,电商概念,2461310845.91,194088800.0,310,7939712.40616129,-0.16,192,94,24,⭐,auto
81,贬值受益,2453941288.89,76049000.0,170,14434948.75817647,0.57,130,34,6,⭐,auto
82,无线耳机,2414161666.88,47640300.0,73,33070707.765479453,1.33,67,6,0,⭐,auto
83,光纤概念,2406161925.06,54874100.0,59,40782405.509491526,1.42,54,5,0,⭐,auto
84,稀缺资源,2384884298.94,99919400.0,75,31798457.3192,0.27,44,26,5,⭐,auto
85,味蕾经济,2375055413.45,50011700.0,95,25000583.29947368,-1.39,35,54,6,⭐,auto
86,中特估,2348797645.73,185154400.0,79,29731615.768734176,0.12,37,32,10,⭐,auto
87,军民融合,2339825013.17,114824800.0,174,13447270.190632185,-0.37,151,21,2,⭐,auto
88,中盘价值,2324061579.6800003,114512900.0,136,17088688.085882355,0.02,75,54,7,⭐,auto
89,宁组合,2302295118.49,19097800.0,20,115114755.92449999,1.03,14,6,0,⭐,auto
90,新零售,2224467753.5099998,164587800.0,161,13816569.897577638,-0.13,88,60,13,⭐,auto
91,第三代半导体,2210649177.65,81261000.0,94,23517544.443085108,1.84,89,3,2,⭐,auto
92,AIPC,2197425318.85,18766100.0,39,56344238.94487179,2.4,35,4,0,⭐,auto
93,先进封装,2196843788.15,19165300.0,28,78458706.71964286,3.21,28,0,0,⭐,auto
94,白酒,2162052183.27,35897700.0,42,51477432.935,-2.87,10,28,4,⭐,auto
95,百度概念,2160051508.02,98370100.0,138,15652547.159565218,0.89,122,14,2,⭐,auto
96,AI芯片,2087584999.1299999,20627900.0,43,48548488.35186046,2.16,40,3,0,⭐,auto
97,机器人概念,2064180421.0,64924800.0,244,8459755.823770491,0.8,204,32,8,⭐,auto
98,酿酒概念,2063993901.71,34122900.0,37,55783618.965135135,-9.19,3,34,0,⭐,auto
99,LED概念,2051569332.74,86205800.0,88,23313287.872045454,1.19,78,9,1,⭐,auto
100,价值股,1961820734.78,115959900.0,114,17208953.81385965,0.0,58,50,6,⭐,auto
101,汽车芯片,1957340633.0,30237900.0,71,27568177.929577466,1.65,62,8,1,⭐,auto
102,无人机,1933244507.44,73105600.0,209,9249973.719808612,-0.14,180,24,5,⭐,auto
103,白酒Ⅲ,1922205627.71,18075700.0,19,101168717.24789473,-6.71,0,19,0,⭐,auto
