排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,MSCI中国,12525599705.460001,428876639,568,22052112.157500003,0.4,370,131,67,⭐,auto
2,深成500,9064212256.45,278652581,500,18128424.512900002,0.36,317,116,67,⭐,auto
3,大盘股,8110631125.76,280464057,299,27125856.60789298,0.32,181,84,34,⭐,auto
4,华为概念,7897073548.0,396936877,732,10788351.841530055,0.37,492,166,73,⭐,auto
5,标准普尔,7304739266.54,478926217,798,9153808.604686717,0.25,457,207,134,⭐,auto
6,百元股,6763187884.809999,29005507,249,27161397.127751,0.33,152,85,11,⭐,auto
7,中盘股,6432299244.6,206859484,497,12942252.001207244,0.36,323,112,62,⭐,auto
8,HS300_,6341176306.38,179226603,299,21207947.51297659,0.23,182,79,38,⭐,auto
9,电池技术,5854609785.639999,264635650,559,10473362.765008943,0.13,291,202,64,⭐,auto
10,富时罗素,5843068663.22,370711590,598,9771017.831471572,0.25,361,132,105,⭐,auto
11,中证500,5757620858.92,289098759,500,11515241.717840001,0.4,316,108,76,⭐,auto
12,国产芯片,5057946516.54,83503943,294,17203899.71612245,0.39,203,69,22,⭐,auto
13,大盘成长,4523007963.12,70295354,94,48117105.99063829,0.73,69,20,5,⭐,auto
14,通信技术,4382652631.2,138810015,290,15112595.28,0.55,194,68,28,⭐,auto
15,半导体概念,4064490857.45,64883586,276,14726416.15018116,0.31,178,76,20,⭐,auto
16,大数据,4034702453.96,215052937,286,14107351.237622378,0.4,198,54,34,⭐,auto
17,中盘成长,3908558028.78,81348149,228,17142798.371842105,0.58,166,44,18,⭐,auto
18,算力概念,3871687063.35,175676915,189,20485116.737301588,0.52,114,52,23,⭐,auto
19,QFII重仓,3839132302.2599998,286630930,721,5324732.735450762,0.18,377,233,109,⭐,auto
20,长江三角,3647659780.6899996,313187579,406,8984383.696280787,0.2,226,87,93,⭐,auto
21,物联网,3538841231.6699996,129185175,364,9722091.295796702,0.32,244,80,39,⭐,auto
22,商业航天,3513416063.24,144143814,282,12458922.210070921,0.44,191,59,32,⭐,auto
23,上证180_,3452694201.0,101877005,179,19288794.41899441,0.2,105,46,28,⭐,auto
24,基金重仓,3313746557.9,30566024,100,33137465.579,0.36,62,30,8,⭐,auto
25,存储芯片,3228668982.43,41916655,98,32945601.86153061,0.67,64,29,5,⭐,auto
26,光通信模块,3224703292.81,54861510,83,38851846.9013253,1.17,59,17,7,⭐,auto
27,光伏概念,3210097451.9,305208755,417,7698075.424220623,0.28,240,115,61,⭐,auto
28,军工,3047295174.4,137106396,397,7675806.484634761,0.28,246,100,50,⭐,auto
29,近期新高,3013722521.98,88433670,154,19569626.766103897,-0.02,57,88,9,⭐,auto
30,百日新高,2977731343.98,84658209,139,21422527.654532373,-0.08,51,80,8,⭐,auto
31,西部大开发,2931573846.6499996,147514525,573,5116184.723647469,0.1,273,193,106,⭐,auto
32,最近多板,2884537070.17,194586840,177,16296819.605480226,0.38,83,75,19,⭐,auto
33,CPO概念,2884379336.58,39509961,50,57687586.7316,1.15,38,10,2,⭐,auto
34,数据中心,2753841272.39,138774589,188,14648091.874414893,0.36,116,47,25,⭐,auto
35,锂电池概念,2734348915.21,127608641,280,9765531.840035714,-0.0,142,112,25,⭐,auto
36,风能,2718103905.58,242813578,223,12188806.75147982,0.3,120,65,38,⭐,auto
37,深证100R,2644707074.71,55760711,100,26447070.7471,0.26,65,28,7,⭐,auto
38,有色金属,2567498873.24,98737244,138,18605064.29884058,0.7,100,26,12,⭐,auto
39,固态电池,2563737136.66,110633890,200,12818685.6833,-0.05,92,89,18,⭐,auto
40,行业龙头,2540237252.0,59413366,96,26460804.708333332,0.31,60,27,9,⭐,auto
41,创业成份,2520570687.82,26618934,100,25205706.878200002,0.44,68,20,12,⭐,auto
42,周期股,2514617592.95,94126857,99,25400177.706565656,0.2,67,27,5,⭐,auto
43,数字芯片设计,2495355554.85,11386663,51,48928540.29117647,0.28,34,17,0,⭐,auto
44,通信,2445838938.62,57013422,123,19884869.419674795,1.02,95,19,9,⭐,auto
45,权重股,2417915295.2799997,43443502,50,48358305.9056,0.18,27,17,6,⭐,auto
46,人工智能,2386485026.94,64302755,272,8773842.010808824,0.32,153,82,36,⭐,auto
47,小金属概念,2380813832.39,101874224,110,21643762.11263636,0.78,78,21,11,⭐,auto
48,钠离子电池,2249328338.91,115894569,69,32598961.43347826,-0.31,23,38,7,⭐,auto
49,网络安全,2246637277.57,102030298,129,17415792.849379845,0.25,88,28,13,⭐,auto
50,光纤概念,2230488096.69,56379427,63,35404572.96333333,1.89,55,4,4,⭐,auto
51,阿里概念,2163739261.46,134934546,162,13356415.194197532,0.24,114,28,20,⭐,auto
52,消费电子概念,2129353389.32,51612932,175,12167733.653257143,0.47,120,42,13,⭐,auto
53,AH股,2101001767.0,125455705,100,21010017.67,0.53,64,20,16,⭐,auto
54,新能源,2075437952.13,214811664,209,9930325.129808612,0.32,109,55,45,⭐,auto
55,特斯拉概念,2061272344.78,40893748,195,10570627.409128206,0.18,118,52,25,⭐,auto
56,军民融合,2038213234.31,96745550,173,11781579.389075143,0.24,105,47,20,⭐,auto
57,央国企改革,1987263852.0,203334858,371,5356506.339622642,0.15,206,108,57,⭐,auto
58,量子科技,1947784614.8400002,66479033,52,37457396.43923077,0.53,38,7,7,⭐,auto
59,电网概念,1945041991.5500002,115624890,217,8963327.15,0.59,165,34,18,⭐,auto
60,数字经济,1943409183.88,112564981,176,11042097.63568182,0.1,105,40,30,⭐,auto
61,证金持股,1935949191.43,106952803,189,10243117.414973546,0.09,97,51,41,⭐,auto
62,海工装备,1888585998.8600001,75900024,72,26230361.09527778,0.46,38,26,8,⭐,auto
63,AI眼镜,1872347405.45,38163373,116,16140925.909051724,0.45,85,21,10,⭐,auto
64,新能源车,1857313218.6399999,53018197,363,5116565.34060606,0.29,219,101,43,⭐,auto
65,节能环保,1839332798.1999998,120801780,411,4475262.28272506,0.23,216,124,71,⭐,auto
66,DeepSeek概念,1826567033.1699998,86264094,248,7365189.649879032,0.03,166,53,29,⭐,auto
67,云计算,1770694616.17,59980437,136,13019813.354191177,0.49,100,22,14,⭐,auto
68,上证50_,1769156370.0,41688767,50,35383127.4,0.18,26,15,9,⭐,auto
69,中特估,1743760011.49,95663205,81,21527901.376419753,0.1,37,28,16,⭐,auto
70,PCB,1736401380.5900002,44375221,133,13055649.478120303,0.43,81,36,16,⭐,auto
71,第三代半导体,1710032221.6299999,64332748,95,18000339.17505263,0.71,64,24,7,⭐,auto
72,电池,1672479449.01,76197852,94,17792334.56393617,-0.48,28,58,8,⭐,auto
73,数据安全,1667645177.3400002,82532327,80,20845564.716750003,-0.06,51,22,7,⭐,auto
74,小盘股,1638464798.0,95515429,394,4158540.0964467004,0.23,232,105,57,⭐,auto
75,AIPC,1636037877.0,14741371,42,38953282.78571428,0.39,29,12,1,⭐,auto
76,计算机设备,1596004605.19,59786402,84,19000054.823690478,0.44,58,20,6,⭐,auto
77,参股券商,1582254113.3600001,81126578,127,12458693.805984253,0.22,66,32,29,⭐,auto
78,百度概念,1567911816.53,88670917,146,10739122.031027397,0.14,91,39,16,⭐,auto
79,其他计算机设备,1555517368.5100002,58028325,60,25925289.47516667,0.45,45,12,3,⭐,auto
80,北斗导航,1530224670.9,70018092,70,21860352.441428572,0.63,47,14,9,⭐,auto
81,小米概念,1527345538.5,64819899,222,6879934.858108108,0.39,144,52,26,⭐,auto
82,工业互联,1496019805.54,70146914,192,7791769.820520833,0.21,126,44,21,⭐,auto
83,贬值受益,1487374856.75,46221152,172,8647528.236918604,0.17,88,57,25,⭐,auto
84,核能核电,1455817307.9099998,176609855,186,7826974.773709676,0.29,114,40,32,⭐,auto
85,破增发价股,1415174920.7,178517239,599,2362562.4719532556,0.13,332,158,109,⭐,auto
86,区块链,1414879387.8400002,90199624,197,7182128.872284264,0.22,135,38,24,⭐,auto
87,历史新高,1392527590.05,19641334,41,33964087.56219512,-0.29,19,20,2,⭐,auto
88,AI应用,1347531016.29,126125909,196,6875158.246377551,0.22,140,37,19,⭐,auto
89,稀缺资源,1328239725.62,61371703,78,17028714.43102564,0.14,36,33,9,⭐,auto
90,机器人概念,1317616855.0,42681564,265,4972139.075471698,0.28,158,76,29,⭐,auto
91,锂矿概念,1314267359.43,25111372,37,35520739.44405405,0.11,15,18,4,⭐,auto
92,先进封装,1266601723.78,15666796,30,42220057.45933333,0.64,18,10,2,⭐,auto
93,光模块,1242111127.08,56773612,94,13213948.16042553,0.26,58,17,19,⭐,auto
94,液冷概念,1231923916.54,27706370,93,13246493.72623656,0.6,58,27,8,⭐,auto
95,茅指数,1221051307.69,15784225,42,29072650.18309524,0.33,29,11,2,⭐,auto
96,燃料电池概念,1176755323.1399999,87252240,139,8465865.634100718,0.06,72,47,19,⭐,auto
97,汽车芯片,1163694186.15,18600482,69,16865133.132608697,0.25,48,12,9,⭐,auto
98,国产软件,1158504892.04,79008329,223,5195089.201973094,0.18,146,54,23,⭐,auto
99,英伟达概念,1141424282.21,20086277,60,19023738.036833335,0.63,44,10,6,⭐,auto
100,信创,1117849330.0,10462099,89,12560104.831460673,0.36,60,22,7,⭐,auto
101,股权激励,1115507180.6999998,32448145,212,5261826.324056603,0.21,117,64,31,⭐,auto
102,人形机器人,1101049030.2,33091731,228,4829162.413157895,0.28,135,68,23,⭐,auto
103,智慧城市,1095502116.72,73696465,202,5423277.805544554,0.2,121,55,26,⭐,auto
104,参股银行,1092807600.81,118507085,228,4793015.793026316,0.08,109,68,51,⭐,auto
105,大盘价值,1077174036.1,132612191,100,10771740.361,-0.05,41,38,21,⭐,auto
106,动力电池回收,1072077947.85,60543490,41,26148242.630487807,-0.57,18,21,1,⭐,auto
107,AI芯片,1051230577.04,23200658,38,27663962.55368421,0.24,24,13,1,⭐,auto
108,养老金,1035435522.1899999,45473595,197,5256017.879137056,0.26,123,51,23,⭐,auto
109,电力,1033344995.97,160380155,108,9568009.221944444,0.31,53,28,27,⭐,auto
110,毫米波概念,1031551471.0,20663759,45,22923366.02222222,0.76,31,8,6,⭐,auto
111,黄金概念,1023519431.6,59085704,70,14621706.165714286,1.01,53,9,8,⭐,auto
112,华为海思,1023285968.04,29455206,38,26928578.106315788,0.94,24,11,3,⭐,auto
113,智能电网,1011467303.4300001,45424033,186,5437996.255000001,0.66,144,25,17,⭐,auto
114,无线耳机,1010272925.1500001,22738152,81,12472505.248765433,0.27,51,23,7,⭐,auto
115,数据要素,1004105898.07,77452994,154,6520168.169285715,0.23,100,38,16,⭐,auto
116,特高压,998352793.0899999,40439864,84,11885152.298690476,0.68,66,12,6,⭐,auto
117,MiniLED,996294722.89,91794680,66,15095374.589242425,0.43,43,16,7,⭐,auto
118,F5G概念,991903831.0,16614680,25,39676153.24,1.45,20,3,2,⭐,auto
119,无人机,986756341.76,36441928,214,4611010.942803739,0.43,144,39,31,⭐,auto
120,AIGC概念,960621737.61,81439188,109,8813043.464311928,0.15,72,23,14,⭐,auto
121,绿色电力,940349682.7,141007223,99,9498481.643434344,0.31,54,26,19,⭐,auto
122,电商概念,939971765.23,126822747,291,3230143.523127148,0.02,150,86,55,⭐,auto
123,卫星互联网,924591534.9,42475138,87,10627488.906896552,0.41,64,13,10,⭐,auto
124,独角兽,922311172.03,43230487,104,8868376.654134614,0.23,66,23,15,⭐,auto
125,央视50_,897020142.78,17072468,50,17940402.8556,0.21,23,13,14,⭐,auto
126,公用事业,882173457.51,144898534,94,9384824.01606383,0.17,39,34,21,⭐,auto
127,LED概念,834479259.49,27713709,96,8692492.286354167,0.16,57,25,14,⭐,auto
128,鸿蒙概念,826491512.8100001,51614242,118,7004165.362796611,-0.04,75,26,17,⭐,auto
129,碳化硅,823090054.0,25765524,42,19597382.23809524,0.84,29,9,4,⭐,auto
130,工业金属,819246785.05,58641679,58,14124944.569827585,0.43,35,15,8,⭐,auto
131,通信线缆及配套,815698694.34,19284358,11,74154426.75818183,4.07,11,0,0,⭐,auto
132,6G概念,794007694.88,19813248,34,23353167.49647059,0.76,22,10,2,⭐,auto
133,石墨烯,777705842.5,77406708,66,11783421.856060605,0.09,29,25,12,⭐,auto
134,光刻机(胶),772572644.0,19912871,92,8397528.739130436,0.41,61,24,7,⭐,auto
135,宁组合,770878113.92,7874359,24,32119921.41333333,0.42,17,4,3,⭐,auto
136,传感器,764946900.4,16178372,91,8406009.894505493,0.56,65,12,12,⭐,auto
137,AI智能体,762275902.23,91281207,135,5646488.164666667,0.12,90,29,16,⭐,auto
138,虚拟电厂,754125036.16,84168858,66,11426136.91151515,0.24,46,14,6,⭐,auto
139,移动支付,741639443.04,33582763,67,11069245.418507462,0.15,48,10,9,⭐,auto
140,元宇宙概念,739088060.0,54603756,142,5204845.492957747,0.17,87,38,17,⭐,auto
141,深圳特区,731647337.28,17007945,98,7465789.155918367,0.53,63,20,15,⭐,auto
142,消费电子零部件及组装,727123202.81,17817630,79,9204091.174810126,0.51,56,21,2,⭐,auto
143,小金属,721387332.0699999,13899689,24,30057805.502916664,0.77,20,2,2,⭐,auto
144,锂电池,718326290.02,10524135,27,26604677.408148147,-0.17,11,14,2,⭐,auto
145,PPP模式,714767302.0899999,93203160,146,4895666.452671233,0.05,73,40,33,⭐,auto
146,蚂蚁概念,709751255.0,36122587,61,11635266.475409836,0.2,42,11,8,⭐,auto
147,参股新三板,708359534.3,45734619,104,6811149.36826923,0.19,65,22,17,⭐,auto
148,氢能源,706589679.0,64939827,90,7850996.433333334,0.27,41,41,8,⭐,auto
149,玻璃基板,702352497.0,16839163,34,20657426.38235294,0.8,28,6,0,⭐,auto
150,IT服务Ⅲ,696656259.1600001,42838078,120,5805468.826333334,0.34,81,24,14,⭐,auto
151,IT服务Ⅱ,696656259.1600001,42838078,120,5805468.826333334,0.34,81,24,14,⭐,auto
152,汽车,684724089.39,41011639,285,2402540.664526316,0.16,170,70,45,⭐,auto
153,铜缆高速连接,670656879.5,11772689,36,18629357.763888888,0.94,27,8,1,⭐,auto
154,可控核聚变,666155491.9,30856999,75,8882073.225333333,0.45,53,14,8,⭐,auto
155,数字货币,665622559.16,52770685,82,8117348.282439024,-0.08,51,22,9,⭐,auto
156,低空经济,663681203.47,33292965,183,3626673.243005465,0.1,115,45,23,⭐,auto
157,海洋经济,656571448.16,36587744,96,6839285.918333333,0.39,57,18,21,⭐,auto
158,ChatGPT概念,639977862.77,47724916,67,9551908.39955224,-0.1,49,14,4,⭐,auto
159,油气资源,636949596.11,50240331,144,4423261.084097222,-0.2,50,70,24,⭐,auto
160,长期破净,616886447.41,156263715,192,3212950.246927083,-0.14,74,55,63,⭐,auto
161,高带宽内存,595071275.5,8747071,27,22039676.87037037,0.48,20,5,2,⭐,auto
162,低价股,592098838.2,248816846,138,4290571.291304348,-0.46,36,46,56,⭐,auto
163,柔性屏(折叠屏),589327722.36,30473712,74,7963888.140000001,0.51,52,20,2,⭐,auto
164,华为昇腾,587223748.4000001,30657255,46,12765733.660869567,0.08,31,12,3,⭐,auto
165,新型工业化,584320631.63,20408297,97,6023924.03742268,0.33,60,26,11,⭐,auto
166,天然气,579105151.11,42753883,121,4785992.984380165,-0.28,36,65,20,⭐,auto
167,雄安新区,563975474.02,51198243,146,3862845.7124657533,0.15,79,35,32,⭐,auto
168,国防军工,558774762.29,18262296,138,4049092.4803623185,0.25,79,39,18,⭐,auto
169,火力发电,539925568.97,95312255,31,17416953.837741937,0.25,13,6,12,⭐,auto
