排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,MSCI中国,11359027595.64,349170972,569,19963141.644358523,199.14946047466142,29.902285714285714,-0.5,118,389,62,⭐,auto
2,大盘股,7636399369.0,218838949,300,25454664.563333333,225.88539059199434,37.3322,-0.45,68,187,45,⭐,auto
3,深成500,7121401099.8,196170281,500,14242802.1996,190.84582325805823,20.974266666666665,-0.47,98,335,67,⭐,auto
4,标准普尔,7079428232.440001,377723346,800,8849285.290550001,80.37337226500833,,-0.26,206,456,138,⭐,auto
5,百元股,6943250855.98,29597369,249,27884541.59028112,365.4778020489294,96.434,-1.26,32,207,10,⭐,auto
6,华为概念,6678098529.54,232543465,732,9123085.422868852,103.32333414232754,14.158222222222221,-0.52,165,485,82,⭐,auto
7,HS300_,6416818286.55,159412214,300,21389394.2885,235.69813491470475,37.3322,-0.41,70,188,42,⭐,auto
8,富时罗素,5513276954.15,255416455,600,9188794.923583332,131.86403338958513,,-0.29,160,344,96,⭐,auto
9,中盘股,5388072535.84,174911323,497,10841192.225030182,141.92043902315612,22.90694117647059,-0.56,104,351,42,⭐,auto
10,通信技术,5052692888.51,108175267,290,17423078.92589655,228.0559430899572,,-0.99,42,235,13,⭐,auto
11,国产芯片,5019671573.47,87848545,294,17073712.834931973,239.03852605916956,,-1.26,31,249,14,⭐,auto
12,中证500,4890271219.309999,215517342,500,9780542.43862,100.3048593747717,18.043181818181818,-0.44,108,336,56,⭐,auto
13,半导体概念,4577330479.440001,80550339,276,16584530.722608697,261.1309775729073,,-1.33,31,235,9,⭐,auto
14,大盘成长,4527063210.46,46892650,94,48160246.919787236,321.5649519586649,,-0.98,9,75,10,⭐,auto
15,光通信模块,4148080514.36,63223237,83,49976873.666987956,265.4527903120876,,-1.47,7,73,3,⭐,auto
16,中盘成长,4011347192.72,102301528,228,17593628.038245615,178.33910414545664,18.921999999999997,-0.88,35,181,12,⭐,auto
17,电池技术,3956182858.54,155638894,559,7077250.194168157,75.22985325345398,18.726499999999998,-0.29,155,333,71,⭐,auto
18,光伏概念,3823131935.64,352458215,417,9168182.099856114,46.79368368764378,9.943142857142858,-0.31,121,244,52,⭐,auto
19,上证180_,3672058292.0,114998186,180,20400323.844444446,184.38630520517074,,-0.39,49,104,27,⭐,auto
20,基金重仓,3593219548.77,27268625,100,35932195.4877,382.05950606881873,96.434,-1.02,19,76,5,⭐,auto
21,CPO概念,3548038176.53,42186810,50,70960763.53060001,250.36804265090868,,-1.46,2,45,3,⭐,auto
22,QFII重仓,3499412548.89,273546329,721,4853554.159348127,112.50953658057198,7.869111111111112,-0.1,289,338,93,⭐,auto
23,算力概念,3466905595.2200003,105425886,189,18343415.84772487,294.3462563823268,28.567999999999998,-0.64,38,135,16,⭐,auto
24,物联网,3360870855.56,113816608,364,9233161.6910989,118.73525752849766,26.3008,-0.53,81,235,48,⭐,auto
25,西部大开发,3163374626.87,181081398,574,5511105.621724739,161.2334145486936,15.382200000000001,-0.17,198,298,77,⭐,auto
26,存储芯片,3134284018.43,46400387,98,31982489.98397959,187.44669994296285,,-1.53,9,84,4,⭐,auto
27,商业航天,3021798525.6400003,113897469,282,10715597.608652484,74.08050986555965,18.445999999999998,-0.6,48,213,20,⭐,auto
28,长江三角,3008188166.46,281967162,406,7409330.459261084,52.39954611833872,9.729636363636363,-0.26,129,213,64,⭐,auto
29,通信,2999972023.77,59777612,123,24390016.453414634,252.77411739668528,38.528,-0.88,21,93,9,⭐,auto
30,光纤概念,2960814202.0400004,81588854,63,46997050.82603175,170.0472475369776,38.528,-1.44,11,49,3,⭐,auto
31,深证100R,2561779801.0,33976519,100,25617798.01,325.6779794355963,37.3322,-0.42,17,70,13,⭐,auto
32,创业成份,2506334881.75,22221975,100,25063348.8175,354.6350502483716,,-0.78,17,77,6,⭐,auto
33,大数据,2500561845.56,114484139,287,8712759.043763066,48.310633353252676,16.886999999999997,-0.36,66,181,40,⭐,auto
34,权重股,2460898301.46,47088611,50,49217966.0292,414.292214826912,80.276,-0.36,18,24,8,⭐,auto
35,军工,2441971746.7,113443801,397,6151062.334256927,46.77984368701903,16.033454545454546,-0.41,81,279,36,⭐,auto
36,数据中心,2387889202.91,76843287,189,12634334.406931216,178.27770625541703,,-0.56,41,132,16,⭐,auto
37,风能,2324631043.61,158629457,223,10424354.455650225,35.42620856984104,11.582749999999999,-0.22,70,121,32,⭐,auto
38,最近多板,2259128881.5299997,138257804,177,12763440.008644067,45.58213065130585,15.3888,-0.31,49,105,23,⭐,auto
39,新能源,2185561077.3599997,297023143,209,10457230.035215309,23.000511286540643,10.549142857142856,-0.35,58,118,33,⭐,auto
40,人工智能,2114684829.6,56123796,272,7774576.579411765,249.7301924218395,,-0.45,71,168,33,⭐,auto
41,电网概念,2083714796.2800002,99264508,217,9602372.333087558,35.984118373832494,22.326,-0.27,66,131,20,⭐,auto
42,锂电池概念,2063965522.1799998,69778959,280,7371305.436357142,96.1549173855653,,-0.31,78,166,36,⭐,auto
