排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,MSCI中国,10311972577.36,351121696,569,18122974.65265378,225.0283800954705,24.709636363636363,-0.0,219,251,99,⭐,auto
2,深成500,7310850856.110001,251784581,500,14621701.712220002,178.9867520345037,19.483906976744187,0.06,210,210,80,⭐,auto
3,大盘股,7038920778.02,244453141,300,23463069.26006667,228.33035700801636,23.972,-0.04,101,149,50,⭐,auto
4,标准普尔,6866553486.41,480637604,800,8583191.8580125,67.22690101782214,,-0.06,300,345,155,⭐,auto
5,华为概念,6107431247.870001,279770652,732,8343485.311297815,95.60556289256998,14.023666666666665,0.1,374,245,111,⭐,auto
6,百元股,6061333377.2,25133871,249,24342704.326104417,419.15937750326646,94.146,0.14,132,103,13,⭐,auto
7,HS300_,5991399886.690001,176275585,300,19971332.955633335,242.20186407258788,23.972,-0.02,96,146,58,⭐,auto
8,富时罗素,4897702351.85,282213265,600,8162837.253083334,115.31208633745445,,-0.06,212,262,126,⭐,auto
9,中盘股,4842310846.35,171514153,497,9743080.173742456,179.69657035973438,23.471473684210526,0.04,218,200,79,⭐,auto
10,电池技术,4600455259.74,259211901,559,8229794.740143112,60.641059484652715,11.192545454545455,0.17,274,203,80,⭐,auto
11,光伏概念,4479220267.2699995,395148459,417,10741535.413117506,37.9087519068426,9.36957142857143,-0.12,155,198,63,⭐,auto
12,半导体概念,4372115853.559999,105311060,276,15840999.469420288,288.8221960503024,,0.18,136,115,23,⭐,auto
13,中证500,4357813571.47,224693273,500,8715627.14294,102.04181968968196,20.833000000000002,0.06,225,195,80,⭐,auto
14,通信技术,4343471659.67,84526962,290,14977488.48162069,286.63991987588827,,0.25,167,86,36,⭐,auto
15,国产芯片,4246139279.69,70781623,294,14442650.611190476,291.37836904611,,0.2,145,117,32,⭐,auto
16,大盘成长,3865050561.0400004,43580809,94,41117559.160000004,346.35055641392836,,0.02,37,45,12,⭐,auto
17,算力概念,3587332452.93,103993466,189,18980594.989047617,290.8573240944305,21.625333333333334,-0.07,91,79,18,⭐,auto
18,中盘成长,3263457472.58,74373673,228,14313409.96745614,251.06215308237216,21.05622222222222,0.11,114,84,30,⭐,auto
19,上证180_,3066379626.0,118939390,180,17035442.366666667,215.04133642218181,,-0.03,57,86,37,⭐,auto
20,光通信模块,2920309825.23,39803063,83,35184455.72566265,366.9978784112104,,0.36,48,25,10,⭐,auto
21,QFII重仓,2905388531.09,153667979,721,4029665.0916643552,180.87384077065263,12.546,-0.02,314,292,113,⭐,auto
22,基金重仓,2846818372.06,18963891,100,28468183.720599998,488.0148446132514,94.146,-0.05,44,48,8,⭐,auto
23,西部大开发,2794318232.3599997,147859381,574,4868150.230592334,213.24938095175412,15.535894736842106,-0.15,200,273,100,⭐,auto
24,新能源,2761589447.48,331281916,209,13213346.638660287,21.76227784098367,9.3818,-0.37,72,103,34,⭐,auto
25,深证100R,2648194737.9000006,45279132,100,26481947.379000004,294.0080292093897,23.972,0.01,35,46,19,⭐,auto
26,CPO概念,2613298540.29,27715677,50,52265970.8058,310.95963565063283,,0.28,28,21,1,⭐,auto
27,物联网,2602911179.55,87012246,364,7150854.8888736265,118.16583323883573,20.36675,0.07,167,139,56,⭐,auto
28,商业航天,2594123141.6499996,90212973,282,9199018.232801417,86.58149644553741,17.138749999999998,0.11,144,106,31,⭐,auto
29,风能,2526904581.02,241074298,223,11331410.677219732,28.86118017317167,11.06742857142857,-0.15,84,105,34,⭐,auto
30,创业成份,2446628048.6,27929539,100,24466280.485999998,336.0661616960139,,0.24,53,39,8,⭐,auto
31,长江三角,2385116726.7,174021079,406,5874671.740640393,48.56679267009291,10.2256,0.04,174,149,83,⭐,auto
32,数据中心,2325391613.18,70057885,189,12303659.328994708,209.30458404014834,,0.23,101,65,23,⭐,auto
33,小盘股,2247327764.0,123342890,395,5689437.37721519,86.41596526023336,,0.06,164,166,64,⭐,auto
34,权重股,2246061415.75,39878258,50,44921228.315,443.7714477883421,,-0.09,16,29,5,⭐,auto
35,通信,2229968454.76,40765426,123,18129824.835447155,290.65217012031104,29.614,0.15,66,41,16,⭐,auto
36,存储芯片,2212422523.4,31033141,98,22575740.03469388,197.81831295877294,,0.44,59,31,8,⭐,auto
37,军工,2156521414.0299997,108779297,398,5418395.51263819,50.30800000079427,16.296,0.11,190,155,51,⭐,auto
38,央国企改革,2152083656.0,206265993,372,5785171.11827957,37.37292674737678,,-0.03,146,150,74,⭐,auto
39,光纤概念,2120154251.53,85992994,63,33653242.08777778,271.06577998703165,29.614,0.13,32,23,8,⭐,auto
40,大数据,2115660451.3400002,86543009,287,7371639.203275261,55.635230244438695,18.345142857142857,0.02,139,100,47,⭐,auto
41,行业龙头,2100269490.17,44056738,96,21877807.189270835,302.02677681325173,12.89,-0.06,31,56,9,⭐,auto
42,固态电池,2078950304.1799998,61395763,200,10394751.5209,87.15959111486022,12.813,0.12,96,77,26,⭐,auto
43,周期股,1987279668.03,61957778,100,19872796.6803,132.88862932846826,6.504,0.01,41,43,16,⭐,auto
44,最近多板,1970341860.25,120850216,178,11069336.293539327,45.716283891816836,15.172,-0.12,69,91,18,⭐,auto
45,近期新高,1968400532.83,59206294,154,12781821.641753247,88.0640578089962,,0.03,62,74,18,⭐,auto
46,第三代半导体,1906407574.25,85907885,95,20067448.15,69.9230060457374,,0.26,48,42,5,⭐,auto
47,电力,1905727194.04,248668793,108,17645622.167037036,9.457554947757176,9.079600000000001,-0.78,11,80,17,⭐,auto
48,人工智能,1900196141.78,38444476,272,6986015.227132353,283.9690409010715,,0.06,122,106,41,⭐,auto
49,锂电池概念,1882903381.77,94868694,280,6724654.934892857,84.85314209727977,,0.17,141,105,32,⭐,auto
50,破增发价股,1880851844.6,195412572,599,3139986.384974958,29.409374845542665,8.157578947368421,0.03,218,226,153,⭐,auto
51,特斯拉概念,1879925401.98,42494809,195,9640643.087076923,135.8915781640785,,0.17,92,68,34,⭐,auto
52,百日新高,1857070370.83,53155899,139,13360218.495179856,139.0605348657896,,-0.05,52,70,17,⭐,auto
53,AH股,1824959323.0,125818603,100,18249593.23,106.27990107534211,,-0.11,35,44,21,⭐,auto
54,小米概念,1793508044.78,57183610,222,8078865.066576577,122.15950621135745,4.977333333333333,0.19,122,70,30,⭐,auto
55,AI眼镜,1776641295.92,52400219,116,15315873.240689656,137.84515859450883,4.314,0.37,66,43,7,⭐,auto
56,电网概念,1752604105.3700001,112771472,217,8076516.614608295,34.40946930027901,22.523600000000002,0.04,91,96,30,⭐,auto
57,有色金属,1751206140.51,69372267,139,12598605.327410072,45.48515508792601,32.257,-0.52,29,98,12,⭐,auto
58,消费电子概念,1744977955.65,54388779,175,9971302.603714285,93.33157864672552,29.29,0.04,96,60,19,⭐,auto
